tx_alimento;vl_kcal;vl_proteina;vl_carboidrato;vl_gordura;vl_umidade;cd_usuario;tx_grupo;vl_kj;vl_lipideos;vl_colesterol;vl_fibra_alimentar;vl_cinzas;vl_calcio;vl_magnesio;vl_manganes;vl_fosforo;vl_ferro;vl_sodio;vl_potassio;vl_cobre;vl_zinco;vl_retinol;vl_re;vl_rae;vl_tiamina;vl_riboflavina;vl_piridoxina;vl_niacina;vl_vitamina_c
Arroz, integral, cozido;124;2.59;25.81;;70.14;0;Cereais e derivados;516.87;1;;2.75;0.46;5.2;58.7;0.63;105.85;0.26;1.24;75.15;0.02;0.68;;;;0.08;;0.08;;
Arroz, integral, cru;360;7.32;77.45;;12.18;0;Cereais e derivados;1504.89;1.86;;4.82;1.18;7.82;109.71;2.99;250.87;0.95;1.65;173.34;0.07;1.4;;;;0.26;;0.18;4.18;
Arroz, tipo 1, cozido;128;2.52;28.06;;69.11;0;Cereais e derivados;536.63;0.23;;1.56;0.08;3.54;2.25;0.3;17.95;0.08;1.2;14.67;0.02;0.49;;;;;;;;
Arroz, tipo 1, cru;358;7.16;78.76;;13.22;0;Cereais e derivados;1496.99;0.34;;1.64;0.52;4.41;30.38;1.03;104.21;0.68;1.02;62.5;0.11;1.22;;;;0.16;;0.07;1.12;
Arroz, tipo 2, cozido;130;2.57;28.19;;68.73;0;Cereais e derivados;544.42;0.36;;1.07;0.15;3.33;6.05;0.37;21.52;0.05;1.96;20.2;0.04;0.55;;;;;;;;
Arroz, tipo 2, cru;358;7.24;78.88;;13.16;0;Cereais e derivados;1498.36;0.28;;1.72;0.44;4.83;29.24;0.83;82.04;0.6;0.57;57.28;0.05;1.27;;;;0.16;;0.05;0.92;
Aveia, flocos, crua;394;13.92;66.64;;9.13;0;Cereais e derivados;1647.75;8.5;;9.13;1.81;47.89;118.76;1.89;153.4;4.45;4.63;336.33;0.44;2.63;;;;0.55;0.03;;4.47;1.35
Biscoito, doce, maisena;443;8.07;75.23;;3.22;0;Cereais e derivados;1852.76;11.97;;2.1;1.51;54.45;37.14;0.78;166.1;1.76;352.03;141.64;0.17;1.03;;;;1.01;0.42;0.23;3.91;6.22
Biscoito, doce, recheado com chocolate;472;6.4;70.55;;2.18;0;Cereais e derivados;1974.11;19.58;;2.96;1.29;27.23;47.98;0.59;139.45;2.27;239.2;232.4;0.27;0.99;;;;0.32;0.39;0.46;2.52;3.53
Biscoito, doce, recheado com morango;471;5.72;71.01;;2.73;0;Cereais e derivados;1971.4;19.57;;1.53;0.96;35.78;27.1;0.66;137.74;1.48;229.82;113.01;0.13;0.73;;;;0.9;0.42;0.21;1.5;
Biscoito, doce, wafer, recheado de chocolate;502;5.56;67.54;;1.17;0;Cereais e derivados;2102.28;24.67;;1.8;1.06;23.34;47.85;0.44;124.2;2.44;137.24;240.45;0.26;0.87;;;;0.37;0.03;0.3;1.12;
Biscoito, doce, wafer, recheado de morango;513;4.52;67.35;;1.17;0;Cereais e derivados;2148.26;26.4;1.27;0.82;0.56;13.71;18.54;0.28;73.16;1.09;119.9;74.84;0.08;0.51;;;;0.36;;0.94;0.37;
Biscoito, salgado, cream cracker;432;10.06;68.73;;4.06;0;Cereais e derivados;1806.37;14.44;;2.51;2.72;20;39.75;0.69;148.26;2.2;854.36;180.61;0.18;1.14;;;;0.71;0.13;0.17;7.14;
Bolo, mistura para;419;6.16;84.71;;1;0;Cereais e derivados;1751.56;6.13;;1.7;2;58.88;27.92;0.46;332.66;1.21;462.88;75.36;0.15;0.58;;;;0.18;;1.5;1.52;
Bolo, pronto, aipim;324;4.42;47.86;;34.13;0;Cereais e derivados;1355;12.75;73.2;0.69;0.84;85.02;10.34;0.11;122.19;0.49;111.01;134.82;0.05;0.42;;;;0.13;0.07;;;
Bolo, pronto, chocolate;410;6.22;54.72;;19.28;0;Cereais e derivados;1715.5;18.47;76.8;1.43;1.31;74.58;27.69;0.38;196.98;2.13;283.3;211.76;0.05;0.71;;;;0.13;0.09;0.05;;
Bolo, pronto, coco;333;5.67;52.28;;29.32;0;Cereais e derivados;1395.1;11.3;63.21;1.06;1.44;57.11;16.25;0.4;303.4;0.85;190.34;143.29;0.09;0.68;;;;0.15;0.06;;;
Bolo, pronto, milho;311;4.8;45.11;;36.69;0;Cereais e derivados;1302.84;12.42;81.69;0.71;0.98;82.58;10.25;0.11;128.2;0.65;133.81;118.43;0.04;0.44;56.89;;;0.11;0.05;;;
Canjica, branca, crua;358;7.2;78.06;;13.56;0;Cereais e derivados;1496.21;0.97;;5.5;0.21;1.96;12.33;0.09;48.5;0.32;0.79;92.95;0.05;0.36;;;;;;;;
Canjica, com leite integral;112;2.36;23.63;;72.49;0;Cereais e derivados;470.52;1.24;1.35;1.22;0.27;42.56;5.84;0.02;40.58;0.06;27.59;69.81;0.03;0.28;;;;;0.04;;;
Cereais, milho, flocos, com sal;370;7.29;80.84;;9.29;0;Cereais e derivados;1546.41;1.6;;5.29;0.98;1.81;20.1;;90.77;0.52;271.74;68.66;;0.61;;;;0.12;;0.06;;
Cereais, milho, flocos, sem sal;363;6.88;80.45;;11.22;0;Cereais e derivados;1520.21;1.18;;1.84;0.27;1.97;16.55;;58.36;1.69;30.97;28.7;0.24;0.33;;;;0.05;;0.04;;
Cereais, mingau, milho, infantil;394;6.43;87.27;;4.7;0;Cereais e derivados;1650.28;1.09;;3.21;0.51;218.81;16.03;0.11;169.16;3.03;399.4;82.02;0.04;0.36;21.42;;;3.72;0.47;5.08;24.16;109.37
Cereais, mistura para vitamina, trigo, cevada e aveia;381;8.9;81.62;;4.37;0;Cereais e derivados;1594.66;2.12;;4.98;3;584.25;72.27;2.28;515.04;12.64;1163.26;244.36;0.21;2.02;;;;0.76;0.88;1.49;7.46;13.11
Cereal matinal, milho;365;7.16;83.82;;5.53;0;Cereais e derivados;1528.64;0.96;;4.12;2.54;142.92;10.93;0.06;100.8;3.05;654.54;83.09;0.06;7.63;;30.92;15.46;0.76;1.02;2.25;11.04;17.29
Cereal matinal, milho, açúcar;377;4.74;88.84;;4.27;0;Cereais e derivados;1575.51;0.67;;2.11;1.48;56.42;7.94;0.13;43.18;3.9;405.31;51.6;0.04;8.48;;30.92;15.46;0.73;1.11;0.79;10.13;14.55
Creme de arroz, pó;386;7.03;83.87;;7.33;0;Cereais e derivados;1615.03;1.23;;1.07;0.54;7.09;50.5;1.24;153.02;0.63;1.03;114.68;0.04;1.86;;;;0.22;;0.05;;
Creme de milho, pó;333;4.82;86.15;;5.65;0;Cereais e derivados;1393.42;1.64;;3.72;1.74;323.16;30.06;0.2;303.27;4.26;593.79;165.72;0.04;0.78;;;;0.74;;2.05;;96.34
Curau, milho verde;78;2.36;13.94;;81.56;0;Cereais e derivados;328.17;1.64;4.74;0.46;0.49;52.6;15.96;0.06;74.66;0.45;20.51;161.84;0.03;0.4;12.07;20.07;16.07;0.04;0.07;;;
Curau, milho verde, mistura para;402;2.22;79.82;;3.92;0;Cereais e derivados;1683.17;13.37;;2.52;0.67;30.88;8.5;0.05;44.62;0.86;222.93;55.34;0.03;0.24;;;;0.13;;;;
Farinha, de arroz, enriquecida;363;1.27;85.5;;12.69;0;Cereais e derivados;1519.03;0.3;;0.58;0.23;1.12;4.3;0.04;35.96;31.38;17.1;12.54;;8.48;;;;3.23;;3.47;24.42;173.59
Farinha, de centeio, integral;336;12.52;73.3;;10.78;0;Cereais e derivados;1404.89;1.75;;15.48;1.66;33.92;120.23;3.86;339.99;4.73;41.38;333.62;0.56;2.66;;;;0.29;0.03;0.08;;
Farinha, de milho, amarela;351;7.19;79.08;;11.77;0;Cereais e derivados;1466.86;1.47;;5.49;0.49;1.29;30.96;;84.22;2.25;44.93;57.85;0.27;0.6;;18;9;0.25;;0.25;;
Farinha, de rosca;371;11.38;75.79;;9.81;0;Cereais e derivados;1550.5;1.46;;4.82;1.56;35.3;56.88;1.62;194.96;6.73;332.5;212.14;0.26;1.67;;;;0.25;;0.09;;
Farinha, de trigo;360;9.79;75.09;;12.98;0;Cereais e derivados;1508.22;1.37;;2.35;0.77;17.86;31;0.46;114.74;0.95;0.74;151.37;0.15;0.83;;;;0.31;;;0.89;
Farinha, láctea, de cereais;415;11.88;77.77;;2.7;0;Cereais e derivados;1735.73;5.79;11.27;1.94;1.86;196.06;57.69;1.49;296.44;8.72;125.07;365.6;0.19;1.73;492.25;;;1.43;1.13;1.14;9.5;24.31
Lasanha, massa fresca, cozida;164;5.81;32.52;;59.65;0;Cereais e derivados;685.19;1.16;;1.64;0.86;9.97;3.54;0.2;42.38;1.19;206.77;53.91;0.07;0.41;;;;0.04;;;3.96; 
